16:09:22: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 55] Logger initialized
16:09:36: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: -116.56505117707799
16:09:36: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 15.379310344827585 m/s
16:09:36: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by -45.0 degrees
16:09:36: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: -45.0
16:09:37: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 15.533333333333333 m/s
16:09:37: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by -63.43494882292201 degrees
16:09:37: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: -63.43494882292201
16:09:37: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity: 15.67741935483871 m/s
16:09:37: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Changing yaw by -90.0 degrees
16:09:37: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 84] Command status: CHANGING_YAW: -90.0
16:09:38: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command worker exiting
